UserID,Age(bin),YearsExp(bin),Trans_Domain,Trans_Gender,Trans_University,Trans_UOC_Position,Trans_PhD,Trans_Other_Position,Trans_Use_wiki,Easy for stu to develop new skills,Improves stu's learning,Useful for teaching 2,user friendly,easy to find info,easy to add or edit info,stimulates curiosity,entertaining,reliable,Info updated,comprehensice,lower quality 2,trust in editing system,improves visibility of stu's work,easy to have records,cite wiki,well considered among colleagues,sharing open edu resource is appreciated,colleagues use wiki,important to share in open platform,important to publish other than book,important to be familiar with open platform,use wiki to develop teaching material,use wiki develop edu activities with stu,recommend stu to use wiki,recommend colleague,agree stu use wiki,contribute to blogs,actively participate in social networks 2,publish academic content in open platform 2,promotes use of open collavorative environment,consider as teaching merits,future recommend to stu and colleague,future will use in teaching,Inc1-best parctices guide,Inc2-instruction form a colleague,Inc3-specific training 2,Inc4-greater institutional recognition 2,Exp1-consult academic in own area,Exp2-consult other academic issues 2,Exp3-consult personal issues,Exp4-contribute to wiki 2,Exp5-use wiki to work with stu 2
U176,40~50,10~20,Engineering & Architecture,Male,UOC,Adjunct,Non-PhD,Associate,No,Mid,N/A,Mid,High,High,N/A,Low,High,Low,Low,Low,High,Low,N/A,High,Low,Low,High,Mid,High,Low,High,Low,Low,Low,Low,Low,Low,High,Low,Mid,Low,Mid,Low,High,N/A,High,N/A,Mid,Mid,Low,Low,Low
U177,50~60,0~10,Engineering & Architecture,Male,UOC,Adjunct,Non-PhD,Associate,No,Low,Low,Low,Mid,Mid,Low,Mid,Low,Mid,Low,Low,High,Low,N/A,N/A,Low,N/A,N/A,N/A,High,High,High,Low,Low,Low,Low,Mid,Low,Low,Low,High,N/A,Low,Low,High,Mid,Mid,N/A,Low,Mid,Mid,Low,Low
U178,40~50,0~10,Unknown,Male,UOC,Adjunct,PhD,Unknown,No,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,High,High,High,Mid,Mid,Mid,Mid,N/A,Mid,Mid,Mid,Mid,Mid,High,High,High,N/A,N/A,Mid,N/A,High,N/A,Mid,Mid,Mid,Mid,N/A,N/A,N/A,N/A,High,High,High,Low,Low
U179,40~50,0~10,Unknown,Male,UOC,Adjunct,PhD,Professor,No,High,High,High,High,High,Mid,High,High,Mid,Mid,Mid,Mid,High,High,Mid,High,Low,High,Mid,High,High,High,Low,Low,High,High,High,Low,Mid,Mid,High,Low,High,High,High,High,High,High,Mid,High,High,Low,Mid
U180,40~50,20~30,Sciences,Male,UOC,Adjunct,PhD,Professor,No,High,High,High,High,High,N/A,High,Mid,High,High,High,Low,High,N/A,N/A,High,Low,Mid,Mid,High,High,High,High,Low,Mid,Mid,Mid,Low,Mid,Mid,High,Low,Mid,High,High,High,High,High,High,High,High,Low,Low
U181,40~50,10~20,Sciences,Male,UOC,Adjunct,PhD,Professor,No,Mid,Mid,Mid,High,High,High,High,High,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Low,High,Low,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid
U182,40~50,10~20,Engineering & Architecture,Male,UOC,Adjunct,PhD,Professor,No,High,High,High,High,Mid,High,High,High,Mid,High,Mid,Low,Mid,Mid,High,Low,Low,High,High,High,Mid,High,Low,Low,Mid,Mid,Mid,Low,Low,Low,High,Mid,Mid,Mid,High,High,High,High,High,High,High,Low,High
U183,40~50,0~10,Unknown,Male,UOC,Adjunct,Non-PhD,Associate,No,Mid,Mid,Low,High,High,Mid,Mid,Mid,Low,Mid,Mid,Mid,Mid,Mid,Mid,Low,Low,Mid,High,High,High,High,Mid,Mid,Low,Low,High,Mid,Mid,Mid,High,High,Mid,Mid,Mid,Mid,Mid,High,Low,Mid,Mid,Mid,Mid
U184,40~50,0~10,Unknown,Male,UOC,Adjunct,Non-PhD,Associate,No,Mid,Mid,Mid,High,High,Mid,Mid,High,High,High,Mid,High,Mid,N/A,N/A,Low,Mid,High,N/A,Mid,High,Mid,Low,Low,Low,Low,Low,High,Mid,Mid,High,High,Low,Low,Mid,High,Mid,Mid,Low,Mid,Low,Low,Low
U185,40~50,10~20,Unknown,Male,UOC,Adjunct,PhD,Associate,Yes,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Mid,Mid,Mid,Mid,High,Mid,High,Low,Mid,High,Mid,High,High,Mid,High,High,High,High,High,High,High,Mid,High,Mid,High,High,High,High
U186,50~60,10~20,Sciences,Male,UOC,Adjunct,Non-PhD,Associate,No,High,N/A,High,High,High,N/A,High,N/A,High,High,High,N/A,High,N/A,N/A,Mid,Mid,High,High,High,High,High,Mid,N/A,High,Mid,High,High,High,Mid,High,High,High,High,High,High,N/A,N/A,High,High,Low,Mid,High
U187,40~50,10~20,Unknown,Male,UOC,Adjunct,Non-PhD,Associate,No,High,Mid,High,High,High,Mid,High,High,High,High,High,High,High,High,High,Low,Mid,High,Mid,High,High,High,Low,Low,Mid,Mid,High,Mid,Mid,High,High,High,Mid,Mid,High,High,High,High,Mid,Mid,High,Low,High
U188,40~50,20~30,Sciences,Male,UOC,Adjunct,PhD,Professor,No,High,High,High,High,High,Low,High,High,High,High,High,Low,High,High,Mid,Mid,Low,Mid,High,High,High,High,High,High,High,High,High,Low,Mid,Low,Low,Low,High,High,High,High,Mid,High,High,High,High,Low,Low
U189,40~50,10~20,Law & Politics,Male,UOC,Adjunct,Non-PhD,Associate,No,Mid,Mid,Mid,High,High,Low,High,High,Mid,Mid,Low,Low,Mid,Mid,Mid,Low,Low,High,Low,High,High,High,Low,Low,Mid,Low,Mid,Mid,Mid,Low,High,Mid,Mid,Mid,High,Low,High,High,Low,High,High,Low,Low
U190,50~60,10~20,Sciences,Male,UOC,Adjunct,Non-PhD,Associate,No,Mid,Low,High,High,Mid,Mid,High,Mid,High,High,High,Mid,Mid,Low,Mid,Low,Mid,High,Mid,Mid,High,High,Low,Low,Low,Low,High,Low,Low,Low,High,High,Mid,Low,High,Mid,Low,Mid,High,Mid,Low,Low,High
U191,40~50,10~20,Law & Politics,Male,UOC,Adjunct,PhD,Professor,No,Low,Low,Low,High,High,Low,High,High,Mid,Mid,Low,Low,Low,Low,Mid,Low,Low,Mid,Low,Mid,High,High,Low,Low,Low,Low,Mid,Low,Low,Low,Mid,Mid,Low,Low,High,Mid,Mid,Mid,Mid,High,High,Low,Low
U192,40~50,10~20,Unknown,Male,UOC,Adjunct,PhD,Professor,No,High,High,High,High,High,High,High,High,High,High,Mid,Mid,High,High,Low,Low,Low,Low,Mid,High,High,High,High,High,High,Mid,High,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High,Low,High
U193,30~40,10~20,Engineering & Architecture,Male,UOC,Adjunct,PhD,Professor,Yes,High,High,High,High,High,High,High,High,High,High,Mid,Low,High,Mid,High,High,Low,High,High,High,High,High,Low,Mid,High,High,High,Mid,Mid,High,High,Mid,High,High,Mid,High,Mid,High,High,High,High,High,Low
U194,40~50,10~20,Law & Politics,Male,UOC,Adjunct,Non-PhD,Professor,No,Low,Low,Low,High,Mid,Mid,High,Mid,Low,Low,Low,High,Low,Mid,Mid,Low,Low,Low,Low,Mid,Mid,Mid,Low,Low,Low,Low,Low,Low,Low,Mid,Mid,Mid,Low,Low,Mid,Mid,Mid,Mid,Low,Mid,Mid,Low,Low
U195,30~40,0~10,Engineering & Architecture,Male,UOC,Adjunct,Non-PhD,Associate,No,Mid,High,High,High,High,Mid,High,High,High,High,High,Low,High,Mid,Mid,High,Mid,High,Mid,High,High,High,Mid,High,High,High,High,Mid,Low,Mid,High,High,High,High,High,Low,Low,Low,High,High,High,Low,Low
U196,30~40,0~10,Engineering & Architecture,Male,UOC,Adjunct,PhD,Associate,No,N/A,High,High,High,High,High,High,Mid,High,High,High,High,High,High,High,Low,Mid,High,High,High,High,High,Low,Low,Mid,Mid,High,Low,Mid,Mid,Mid,Mid,Mid,Mid,High,High,High,High,High,High,High,Low,Mid
U197,40~50,0~10,Engineering & Architecture,Male,UOC,Adjunct,Non-PhD,Associate,No,High,Mid,Mid,High,High,High,High,High,High,High,High,Low,Low,Mid,Low,Low,Mid,High,Mid,High,High,High,Low,Low,Mid,Mid,High,Low,Low,Low,High,High,Low,Low,Low,High,High,Mid,Mid,Mid,High,Low,Low
U198,40~50,10~20,Arts & Humanities,Male,UOC,Adjunct,Non-PhD,Associate,No,High,Mid,High,High,High,High,High,High,High,Mid,Mid,Low,High,High,High,Low,Mid,High,High,High,High,High,Low,Low,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,High,High,Low,High
U199,30~40,0~10,Unknown,Male,UOC,Adjunct,Non-PhD,Associate,No,High,Mid,High,High,High,Mid,Mid,Mid,Mid,Mid,Mid,High,High,High,High,Mid,Mid,Mid,High,High,High,High,Low,Low,Mid,Mid,High,High,High,High,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Low,Low,Mid,Low,High
U200,50~60,0~10,Engineering & Architecture,Male,UOC,Adjunct,Non-PhD,Associate,No,Mid,Mid,High,High,High,High,High,High,Mid,Mid,Mid,Mid,High,High,Mid,Low,Mid,High,High,High,High,High,Low,Mid,Low,Low,High,High,High,High,High,High,Mid,Mid,High,High,Mid,Mid,Mid,High,High,Low,High
U201,40~50,10~20,Unknown,Male,UOC,Adjunct,PhD,Professor,No,High,High,Mid,High,High,Mid,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Mid,Low,High,Low,Low,Low,Low,Mid,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Mid,High,High,Low,Mid
U202,40~50,0~10,Unknown,Male,UOC,Adjunct,Non-PhD,Associate,No,High,High,High,High,High,High,High,High,High,High,High,Mid,High,High,High,Mid,High,High,High,High,High,High,Mid,Mid,High,High,High,Low,High,High,High,High,High,High,High,High,Mid,High,High,High,High,Low,High
U203,30~40,0~10,Unknown,Male,UOC,Adjunct,Non-PhD,Associate,No,Low,Low,Mid,High,High,Mid,High,High,High,High,Mid,High,Mid,Low,Low,Low,Low,Low,Mid,High,High,High,Low,Low,Low,Low,High,Low,Mid,Low,High,Low,Low,Mid,High,Mid,High,High,High,High,High,Low,Low
U204,50~60,20~30,Health Sciences,Male,UOC,Adjunct,Non-PhD,Associate,No,Low,Low,Mid,High,Mid,Low,High,High,Mid,Low,Low,High,Low,Mid,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,Low,Low,Low,High,High,Low,Low,High,Mid,High,High,Low,Mid,High,Low,Mid
U205,40~50,0~10,Arts & Humanities,Male,UOC,Adjunct,Non-PhD,Associate,No,Mid,Low,Low,High,High,High,Mid,Mid,Mid,High,High,High,Mid,Low,Mid,Low,Low,Mid,Low,High,High,High,Low,Low,Low,Low,Mid,Low,Low,Low,High,High,Low,Low,Mid,Low,Low,Low,Low,Low,High,Low,Low
U206,40~50,0~10,Engineering & Architecture,Male,UOC,Adjunct,Non-PhD,Associate,No,Low,Low,Low,High,Mid,N/A,Low,High,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low,Low,High,Mid,High,High,High,Low,Low,Low,Low,Low,High,High,High,High,N/A,Low,Low,N/A,N/A,N/A,N/A,Low,Low,Mid,Low,N/A
U207,30~40,0~10,Unknown,Male,UOC,Adjunct,Non-PhD,Associate,Yes,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
U208,40~50,0~10,Engineering & Architecture,Male,UOC,Adjunct,Non-PhD,Associate,Yes,Mid,High,High,High,High,High,High,High,High,High,Low,Mid,High,High,High,High,Mid,High,High,High,High,High,Low,High,Low,Low,Mid,Low,High,High,High,High,Mid,High,High,Mid,Mid,Mid,High,High,High,High,High
U209,60~70,,Sciences,Male,UOC,Adjunct,Non-PhD,Associate,No,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,High,Mid,Mid,Mid,Mid,Mid,Low,Mid,Mid,Mid,Mid,Mid,High,Low,Low,Mid,Mid,High,Low,High,Low,High,High,High,Mid,High,High,High,Mid,Low,Low,Low,Low,High
U210,40~50,0~10,Unknown,Male,UOC,Adjunct,Non-PhD,Professor,No,High,High,High,High,High,High,High,High,Mid,High,High,Mid,Mid,Mid,Mid,Low,Mid,Mid,High,High,High,High,Low,Low,Mid,Mid,High,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,High,High,Low,Mid
U211,60~70,10~20,Unknown,Male,UOC,Adjunct,Non-PhD,Associate,No,High,High,High,High,High,Mid,High,High,Mid,High,High,High,Mid,High,Mid,Low,Mid,High,High,High,High,High,Mid,Low,High,High,High,Low,High,Low,High,High,High,High,High,High,High,High,High,High,High,Low,Mid
U212,40~50,10~20,Unknown,Male,UOC,Adjunct,PhD,Professor,No,Low,Low,Low,High,High,Mid,Mid,High,Mid,High,High,Mid,Low,Low,Mid,Low,Mid,High,Mid,High,High,High,Low,Low,Low,Low,Mid,Low,Low,Low,High,Mid,Low,Low,Low,Low,Low,Low,Low,High,High,Low,Low
U213,40~50,10~20,Sciences,Male,UOC,Adjunct,PhD,Professor,No,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,High,Mid,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,High,High,Low,Low,High,High,High,High,Low,Low,High,Low,Low
U214,40~50,10~20,Sciences,Male,UOC,Adjunct,PhD,Professor,No,Low,Mid,Mid,High,High,Mid,Mid,Mid,High,High,High,Mid,Mid,Mid,Mid,Mid,Mid,High,Mid,High,Mid,Mid,Low,Low,Mid,Mid,High,Low,Low,Low,Mid,Mid,Mid,Low,High,High,Mid,High,Mid,Low,Low,Low,Low
U215,30~40,10~20,Unknown,Male,UOC,Adjunct,PhD,Professor,No,Mid,Mid,High,High,High,Low,Mid,Low,Mid,Mid,Low,Mid,Mid,Mid,Low,Low,Mid,High,Mid,High,High,High,Low,Low,High,Mid,High,Low,Low,Low,Low,Low,Mid,Mid,High,High,High,Low,Low,High,High,Low,Low
U216,40~50,20~30,Engineering & Architecture,Male,UOC,Adjunct,PhD,Professor,Yes,High,High,High,High,High,Mid,High,High,High,High,Mid,Low,High,Mid,Mid,High,Mid,Mid,Mid,High,High,High,High,Low,High,High,High,High,High,High,Mid,High,High,High,Mid,Low,Low,Low,High,High,High,Mid,Mid
U217,50~60,10~20,Health Sciences,Male,UOC,Adjunct,PhD,Professor,Yes,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High
U218,30~40,10~20,Health Sciences,Male,UOC,Adjunct,PhD,Associate,No,High,Mid,High,High,High,N/A,High,High,Low,High,Mid,Mid,N/A,N/A,N/A,Mid,Mid,Low,N/A,High,High,High,Low,Low,High,Mid,High,Low,High,Low,High,Mid,High,High,Low,Low,Mid,Mid,High,High,High,Low,Low
U219,40~50,0~10,Unknown,Male,UOC,Adjunct,Non-PhD,Associate,No,High,High,High,High,Mid,Mid,High,High,Mid,High,Mid,Mid,Low,Mid,Mid,High,Low,Mid,Mid,Mid,High,High,Mid,Low,Mid,Mid,Low,Low,Low,Mid,High,High,Mid,Mid,High,High,High,Mid,Mid,High,Mid,Low,High
U220,40~50,10~20,Arts & Humanities,Male,UOC,Adjunct,Non-PhD,Associate,No,High,High,High,High,High,Mid,High,High,High,Mid,Mid,High,Mid,Mid,Mid,Low,Low,High,Mid,High,Mid,High,Mid,Low,Mid,Mid,High,Low,High,Low,High,Low,Mid,High,Mid,Mid,Mid,Mid,High,High,High,Low,High
U221,40~50,0~10,Law & Politics,Male,UOC,Adjunct,Non-PhD,Associate,No,Mid,Mid,Mid,Low,High,Low,Mid,High,Mid,High,Low,High,Low,Low,Low,Low,Low,High,Mid,High,High,High,Low,Low,Low,Low,Low,Low,High,High,High,Mid,Low,Low,High,High,High,Mid,Low,Mid,High,Low,Low
U222,40~50,10~20,Arts & Humanities,Male,UOC,Adjunct,Non-PhD,Associate,Yes,High,Mid,High,Mid,High,Mid,High,High,High,High,Mid,Low,High,High,Mid,Mid,Mid,High,High,High,High,High,Mid,High,High,High,High,High,High,Mid,High,High,High,High,Mid,High,High,High,High,High,High,Low,Mid
U223,30~40,10~20,Engineering & Architecture,Male,UOC,Adjunct,PhD,Professor,No,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,Low,Mid,Mid,Mid,High,High,Low,High,Mid,Low,High,High,High,Low,Low,Low,High,Low,High,High,Mid,Mid,Mid,High,High,High,High,Low,Low
U224,40~50,,Sciences,Male,UOC,Adjunct,Non-PhD,Associate,No,Mid,Low,Low,High,High,Mid,High,High,Low,Low,Low,Mid,Low,Low,High,Low,Low,High,Mid,High,High,High,Low,Low,Low,Mid,Mid,Low,Low,Low,N/A,N/A,Low,Low,High,Low,Mid,Low,Low,High,High,Low,Low
U225,40~50,10~20,Arts & Humanities,Male,UOC,Adjunct,Non-PhD,Associate,Yes,High,High,High,High,High,High,High,High,High,High,Mid,Low,High,High,High,Mid,Mid,Mid,Low,High,High,High,Mid,High,High,High,High,Mid,High,High,Mid,Low,High,High,High,High,High,High,High,High,High,High,High
U226,40~50,0~10,Unknown,Male,UOC,Adjunct,Non-PhD,Unknown,No,High,High,High,High,High,Mid,High,High,High,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,High,Mid,High,High,High,Mid,Mid,Mid,Mid,High,Mid,Low,Mid,High,Mid,Mid,High,Mid,Mid,Mid,Mid,High,High,High,Low,Mid
U227,50~60,20~30,Unknown,Male,UOC,Adjunct,PhD,Professor,No,High,High,High,High,High,High,Low,High,Mid,Mid,Mid,High,High,High,High,High,N/A,N/A,N/A,N/A,N/A,N/A,High,High,High,High,N/A,Low,Low,Mid,Low,Low,High,High,High,High,High,Low,High,High,Low,Low,High
U228,40~50,0~10,Engineering & Architecture,Male,UOC,Adjunct,Non-PhD,Associate,No,Mid,High,High,High,High,Low,High,Mid,High,High,High,Mid,High,Mid,Mid,High,High,Mid,High,High,High,High,High,Low,High,High,High,Low,High,High,High,Low,High,High,Mid,High,Mid,Mid,High,High,High,Low,Low
U229,50~60,0~10,Arts & Humanities,Male,UOC,Adjunct,Non-PhD,Associate,No,Mid,Mid,Mid,Mid,Mid,Low,Mid,Low,High,High,High,Mid,High,Low,Low,Low,Mid,Low,Mid,High,High,High,Mid,Low,Mid,Mid,High,Low,High,N/A,High,Mid,Mid,Mid,Low,High,High,High,High,High,High,Low,Low
U230,40~50,0~10,Law & Politics,Male,UOC,Adjunct,Non-PhD,Associate,No,High,High,High,High,High,High,High,High,High,High,Mid,High,High,High,High,Mid,Low,Low,Low,High,High,High,Low,Low,Mid,Mid,High,High,High,High,High,High,Mid,Mid,High,Low,High,High,Low,Mid,High,Low,Low
U231,40~50,0~10,Unknown,Male,UOC,Adjunct,Non-PhD,Associate,No,High,High,High,High,High,High,High,Mid,Mid,Mid,Mid,High,Mid,Mid,Mid,Mid,Mid,High,High,High,High,High,Mid,Low,Mid,Mid,High,Mid,High,Mid,High,High,High,Mid,High,High,High,High,Mid,Mid,Mid,Low,Mid
U232,30~40,0~10,Unknown,Male,UOC,Adjunct,Non-PhD,Associate,No,Low,High,Mid,High,High,Mid,High,High,High,High,Mid,Low,Mid,High,Low,Low,Mid,Low,Low,High,High,High,Low,Low,Low,Low,Low,Mid,High,Low,High,Mid,Low,Low,Mid,Low,Mid,High,Low,Mid,High,Low,High
U233,50~60,10~20,Unknown,Male,UOC,Adjunct,Non-PhD,Associate,No,Low,Low,Mid,High,High,Mid,Low,Low,Low,Mid,Low,Low,Mid,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Mid,Mid,Mid,Low,Mid,Low,N/A,N/A,Low,Low,Low,Low,Low,Low,Low,Mid,High,Low,Low
U234,30~40,0~10,Engineering & Architecture,Male,UOC,Adjunct,Non-PhD,Associate,No,High,High,High,High,High,High,High,High,Mid,Mid,Mid,Low,Mid,Mid,Mid,Low,High,High,High,High,High,High,High,Low,Mid,High,Mid,Low,Mid,Low,Mid,Mid,High,Mid,High,High,High,High,High,High,High,Low,Mid
U235,30~40,0~10,Unknown,Male,UOC,Adjunct,Non-PhD,Associate,No,Low,Low,Mid,High,High,High,High,High,Low,High,Low,High,Mid,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Mid,Low,Low,Mid,Low,Low,High,Mid,High,High,Low,Mid,High,Low,Low
U236,50~60,10~20,Health Sciences,Male,UOC,Adjunct,PhD,Professor,Yes,Mid,Mid,High,High,High,High,High,High,Mid,Mid,Low,Low,Mid,Mid,High,Low,Low,High,Low,High,Low,High,Low,Low,Mid,Mid,Low,High,Mid,Low,High,Mid,Mid,Mid,High,High,High,High,High,High,Mid,Mid,High
U237,40~50,10~20,Unknown,Male,UOC,Adjunct,Non-PhD,Professor,No,Mid,Mid,Mid,Low,N/A,N/A,Mid,High,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mid,Low,Low,Low,High,High,High,Low,Low,Low,Low,Mid,High,High,N/A,High,Low,Mid,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
U238,30~40,0~10,Arts & Humanities,Male,UOC,Adjunct,PhD,Professor,Yes,Low,Low,Low,High,Mid,High,Low,Mid,Mid,Mid,Low,High,Low,Low,Mid,Low,Low,Low,Low,High,Mid,High,Low,Low,Low,Low,Low,Mid,Low,High,Mid,Low,Low,Low,Low,Low,Low,Low,Low,Low,Mid,Low,High
U239,30~40,,Engineering & Architecture,Male,UOC,Adjunct,Non-PhD,Associate,Yes,High,Mid,High,Mid,High,Mid,High,Mid,Low,Mid,Low,Low,Low,High,High,Low,Low,Mid,Low,High,High,High,Low,Low,Mid,Low,Mid,Low,Low,Low,High,Mid,Mid,Mid,High,Mid,Mid,Mid,Low,Low,Mid,Low,High
U240,30~40,0~10,Law & Politics,Male,UOC,Adjunct,Non-PhD,Associate,No,High,High,High,High,High,High,High,High,High,High,Mid,Mid,Mid,Mid,Mid,Mid,Low,Low,High,High,High,High,Low,Low,Mid,High,Mid,Mid,High,Low,High,High,High,High,High,High,High,High,Low,High,High,Low,Mid
U241,30~40,0~10,Arts & Humanities,Male,UOC,Adjunct,Non-PhD,Associate,No,High,Mid,High,High,High,High,High,High,High,High,High,Low,High,Mid,High,Low,Mid,Mid,High,High,High,High,Mid,Mid,Mid,Mid,High,High,High,High,High,Low,Mid,Mid,High,High,High,Mid,Low,High,High,Low,Mid
U242,30~40,0~10,Arts & Humanities,Male,UOC,Adjunct,PhD,Professor,No,Mid,Mid,High,High,High,N/A,Low,Low,Mid,Mid,Mid,High,Mid,Mid,N/A,Low,Low,Low,Low,Mid,High,High,Mid,Low,High,Low,High,High,Low,Low,Mid,Mid,Mid,Mid,High,High,High,High,High,High,High,Low,Low
U243,30~40,0~10,Engineering & Architecture,Male,UOC,Adjunct,PhD,Professor,No,High,High,High,High,High,Mid,High,High,High,High,Mid,Low,High,Mid,Low,Mid,High,High,Mid,High,Low,High,Mid,Low,High,High,High,Low,Low,Low,Mid,Low,Mid,High,Low,High,Low,Low,High,Mid,Low,Low,Low
U244,30~40,0~10,Arts & Humanities,Male,UOC,Adjunct,Non-PhD,Associate,No,Mid,High,High,High,High,Mid,High,High,High,High,Mid,High,High,High,Mid,Low,Low,Mid,High,High,High,High,Mid,Mid,High,High,High,Low,High,Mid,High,Mid,High,High,High,High,High,High,High,High,High,Low,High
U245,30~40,0~10,Sciences,Male,UOC,Adjunct,Non-PhD,Associate,No,Mid,Low,Low,High,High,Mid,High,High,Mid,Mid,Mid,High,Low,Mid,Mid,Low,High,Low,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,High,N/A,Low,Low,High,High,High,Mid,Low,High,High,Low,Low
U246,40~50,10~20,Arts & Humanities,Male,UOC,Adjunct,PhD,Professor,No,Low,Mid,High,High,High,High,High,Mid,Mid,Mid,Mid,Mid,Mid,High,Low,Low,Low,Low,Low,High,High,High,Low,Low,High,Mid,High,Low,Low,Mid,Low,Low,Mid,High,Mid,Low,Mid,Low,High,High,High,High,Mid
U247,30~40,0~10,Unknown,Male,UOC,Adjunct,Non-PhD,Associate,No,Mid,Mid,Mid,High,High,Low,High,High,Mid,Mid,High,Mid,Mid,Low,Low,Low,High,Mid,Mid,Mid,High,High,Low,Low,Mid,Mid,Low,Low,Low,Low,High,High,Mid,Low,High,Mid,High,High,Low,Low,High,Low,Low
U248,30~40,10~20,Law & Politics,Male,UOC,Adjunct,PhD,Unknown,No,High,Mid,Mid,High,High,Low,Mid,Mid,High,High,High,Mid,Low,Low,Mid,Low,Low,Mid,Low,High,N/A,High,Low,Low,Low,N/A,Mid,Mid,Low,Low,High,Low,Low,Low,High,Mid,Mid,Mid,Low,Mid,Mid,Low,Low
U249,30~40,10~20,Law & Politics,Male,UOC,Adjunct,Non-PhD,Professor,No,Mid,Mid,Low,High,Low,High,Mid,Mid,Low,Low,Low,High,Low,Mid,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
U250,40~50,0~10,Arts & Humanities,Male,UOC,Adjunct,PhD,Associate,No,Mid,Mid,High,Mid,High,High,High,Mid,High,High,Mid,Low,Mid,Low,Mid,Mid,High,High,Mid,Mid,High,High,Low,Low,High,High,Mid,Low,Mid,Low,Mid,Mid,Mid,Mid,Mid,Mid,High,High,High,High,High,Mid,Low
U251,30~40,0~10,Engineering & Architecture,Male,UOC,Adjunct,Non-PhD,Associate,No,Mid,High,High,High,High,N/A,High,High,Mid,Low,Mid,Mid,Mid,Low,N/A,Low,High,High,N/A,High,High,High,N/A,N/A,High,N/A,High,Low,Low,Mid,N/A,N/A,N/A,N/A,High,N/A,High,High,High,High,High,Low,High
U252,40~50,10~20,Sciences,Male,UOC,Adjunct,PhD,Professor,No,High,High,High,High,High,High,High,High,High,High,High,Low,Mid,Mid,High,Low,High,Mid,High,Mid,Low,High,Mid,Low,High,Mid,High,Low,Low,Low,Mid,Mid,Mid,Mid,Low,Low,Low,Low,High,Low,Mid,Low,Mid
U253,30~40,10~20,Engineering & Architecture,Male,UOC,Adjunct,Non-PhD,Associate,No,High,Mid,High,High,Mid,Mid,Mid,High,High,High,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,High,High,Mid,High,Mid,Mid,Low,High,High,High,High,Low,Low,Mid,High,High,Mid,Low,Mid,Low,Mid,High,High,Low
U254,40~50,20~30,Engineering & Architecture,Male,UOC,Adjunct,PhD,Professor,No,Low,Low,Low,High,Mid,High,Mid,Mid,Low,Low,Low,Mid,Low,Low,Mid,Low,Low,High,Mid,High,Mid,High,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,Mid,Low,Low,Low,Low
U255,50~60,0~10,Engineering & Architecture,Male,UOC,Adjunct,Non-PhD,Associate,Yes,Mid,Mid,High,Mid,Mid,Low,Mid,Mid,High,High,High,High,High,High,Low,High,High,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Mid,Low,Low,Low,N/A,N/A,N/A,N/A,N/A,High,High,N/A,Mid,Mid,Mid,Low,Low
U256,30~40,0~10,Engineering & Architecture,Male,UOC,Adjunct,PhD,Associate,No,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,Mid,Low,High,High,High,High,High,High,High,Low,Low,Low,High,Low,Mid,Mid,High,High,High,High,High,Low,Low,Low,High,High,High,Low,High
